OBJECTID,name,locationx,locationy
1,风驰租车,114.32579000000,30.51019900000
2,武汉百姓汽车租赁有限公司,114.36369500000,30.50658100000
3,武汉市鑫恒忆汽车服务有限公司,114.40765500000,30.49531100000
4,特来电充电站(武汉湖滨花园酒店),114.38416000000,30.51736000000
5,三川汽车租赁,114.39871600000,30.51534900000
6,红霞胜达汽车租赁,114.25870300000,30.43669900000
7,中国石油加油站,114.43734400000,30.50070000000
8,神州租车卓刀泉服务点,114.36916600000,30.51755800000
9,金鑫源租车,114.39055300000,30.50506600000
10,八点到租车(南湖店),114.32289900000,30.50540500000
11,方杨汽车租赁,114.36951800000,30.51959000000
12,八点到(南湖店),114.32289900000,30.50540500000
13,婚庆代驾自驾租车,114.34219900000,30.49960700000
14,车旅·百事通,114.36355300000,30.50758400000
15,惠通租车(南湖店),114.32446700000,30.50008100000
16,米子租车,114.37702100000,30.51718400000
17,惠通租车(团校路),114.37020800000,30.51079100000
18,郑州天达汽车租赁有限公司武汉分公司,114.39302300000,30.49699200000
19,一嗨租车(群光广场百脑汇送车点),114.35687400000,30.52524200000
20,加油加气站,114.34832800000,30.47992200000
21,大方租车(武汉南湖店),114.32572800000,30.50839000000
22,万马堂租车(华坤宾馆店),114.41369800000,30.50102700000
23,中虎租车,114.33141600000,30.51339200000
24,五环汽车租赁(光谷店),114.41840500000,30.50679900000
25,大方租车(光谷广场店),114.39640000000,30.50543400000
26,一嗨租车(武汉森林公园送车点),114.43636200000,30.50606200000
27,瑞卡便利租车(武汉光谷广场店),114.38906500000,30.50482400000
28,神州租车(南湖城市广场服务点),114.32616800000,30.50772800000
29,神州租车(南湖大道),114.40476100000,30.47944000000
30,瑞卡便利租车(武汉南湖店),114.32597600000,30.50884900000
31,瑞卡便利租车(武汉光谷关山店),114.41317900000,30.50019000000
32,武昌区中辉轮胎商行(雅安街),114.32489900000,30.51275800000
33,瑞安汽车配件经营部(途虎养车店),114.32494600000,30.51275400000
34,张家湾加气站,114.28596400000,30.49562300000
35,爱车驿站汽车美容,114.32136000000,30.51284300000
36,中国石化服务区白沙洲北油气合建站,114.26548200000,30.47271100000
37,中国石化加油站(北苑一路),114.31232500000,30.48668100000
38,道达尔加油站(卓豹路交通服务站),114.37935300000,30.50552400000
39,中国石化加油站(雄楚大道),114.40575000000,30.49722700000
40,加油站(下邓),114.59375700000,30.52117800000
41,中国石油加油站(八一路),114.35054100000,30.53598200000
42,中国石化关山加油站(新竹路),114.41060300000,30.48916200000
43,中国石化加油站(珞狮南路辅路),114.34034300000,30.49139900000
44,中国石化服务区加油站,114.26448900000,30.47209200000
45,中国石化服务区珞狮南路西加油站,114.32874700000,30.46039700000
46,中国石化加油站,114.26930900000,30.45850600000
47,中国石化左岭加油站(花园村),114.59431800000,30.52014100000
48,中国石化加油站,114.26899500000,30.45819100000
49,湖北油联加油站,114.31330600000,30.49086100000
50,中国油联南湖二加油站,114.35358800000,30.51056800000
